Category,Classification,Record Grain,Affected Count,Group Count,Auto-Fix Safe?,Required Handling,Human Review Required?,Blocks My WriteX Login?,Blocks Customer History?,Blocks Manager Assignment?,Severity,Confidence,Anonymized Examples,Evidence,Notes
A,Clean customer ownership,Potential customer lead,4979,,No mutation needed,Eligible for staged Customer Master creation after approvals,No,No,No,No,Low,High,lead_fc5c8b277bac | lead_8dd46b800baa | lead_0a0b41ae4f85,E2 local dump,Eligibility estimate; test/internal exclusion remains unavailable
B,Exact-phone duplicate,Potential customer lead,121,60,No,Auto-suggest only; authorized identity review,Yes,Yes,Yes,Conditional,High,High,phone_group_44af01d4f778 | phone_group_6496fbc465f2 | phone_group_979c37108c28,E2 local dump,Counts are participating records; group count is separate
C,Exact-email duplicate,Potential customer lead,181,4,No,Auto-suggest only; verify email and phone context,Yes,Conditional,Yes,Conditional,High,High,email_group_8ee8a011526f | email_group_0ef001c039de | email_group_fe91f112ee87,E2 local dump,A small number of shared email values affects many records
D,Conflicting ownership,Potential customer lead,72,,No,"Reconcile lead, invoice, assignment and contact evidence",Yes,Yes,Yes,Yes,Critical,High,ownership_6aa90328cb8b | ownership_b0170f594c12 | ownership_77832f568b85,E2 local dump,Unique customer leads; may overlap B/C/F/I
E,Missing phone,Potential customer lead,0,,No,Obtain and verify an authorized registered phone,Yes,Yes,No,No,High,High,,E2 local dump,No missing raw phone in reviewed customer-stage rows
F,Invalid or ambiguous phone,Potential customer lead,69,33,Only reviewed format normalization,Validate country code and canonical E.164 value,Yes,Yes,No,No,High,High,phone_format_33a3a752a247 | phone_format_1f9964d991a9 | phone_format_ac0fdc480d83,E2 local dump,Includes invalid values and participants in multi-representation groups
G,Invoice orphan,Active invoice,19,,No,Reconstruct ownership from authorized source evidence,Yes,Yes for invoice scope,Yes,Conditional,Critical,High,invoice_c1215c023487 | invoice_ee0e14f0d608 | invoice_67781e0e61b3,E2 local dump,13 absent/deleted lead links plus 6 non-customer lead links
H,Project orphan,Active assignment/project,1451,,No,Reconcile lead and invoice parents before linking,Yes,Conditional,Yes,Conditional,Critical,High,assignment_3efb9bb9278c | assignment_f3941cb39275 | assignment_655854b64f70,E2 local dump,Reason counts overlap; affected assignment count is unique
I,Multiple-BDE conflict,Potential customer lead,44,,No,Choose current manager and preserve full manager history,Yes,No,No,Yes,High,High,bde_70fac92e5c47 | bde_cae902d4c0db | bde_102977191c2c,E2 local dump,Lead owner compared with distinct invoice creators
J,Requires human review,Unique potential customer lead,389,,No,Work controlled review queue; underlying categories overlap,Yes,Conditional,Conditional,Conditional,High,High,review_1e88137fe421 | review_11928f0f3465 | review_c167c759bd72,E2 local dump,"Union of identity, ownership, phone-format, assignment, and BDE conflicts"
