metric_key,metric_label,value,denominator,status,severity,evidence,method,anonymized_example,notes
potential_customer_records,Potential customer records,6738,201444,observed,info,E2,"Non-deleted leads with leadStage >= 5",,"Snapshot is local Dump20260717; not current-live parity"
normalized_unique_phones,Normalized unique phone numbers,6675,6738,observed,info,E2,"Digits-only international normalization using dial code where needed",,"Only valid 8-15 digit results counted"
normalized_unique_emails,Normalized unique email addresses,284,6738,observed,info,E2,"Trimmed lowercase addresses passing a basic structural check",,"Low coverage means email cannot be the sole identity strategy"
duplicate_exact_phone_groups,Duplicate exact-phone groups,60,6675,action_required,high,E2,"Grouped potential customers by normalized phone",f25ba458d2b7:2,"Hash is one-way and identifies only the audit group"
duplicate_exact_email_groups,Duplicate exact-email groups,4,284,review_required,medium,E2,"Grouped potential customers by normalized valid email",af48919824e0:5,"Verified-email status is absent in the source snapshot"
same_name_different_phone_groups,Same-name/different-phone groups,398,6738,do_not_auto_merge,high,E2,"Normalized name groups containing more than one distinct valid phone",c8669f7e442f:3-records/3-phones,"Name-only evidence is explicitly low confidence"
customers_with_multiple_invoices,Customers with multiple invoices,3307,6738,observed,info,E2,"Potential-customer lead IDs linked to more than one non-deleted invoice",,"Confirms the need for one-to-many Customer Master invoice links"
unreliable_invoice_ownership,Invoices without reliable customer ownership,156,16229,action_required,high,E2,"Missing/orphan/non-customer lead or lead-vs-invoice phone mismatch",,"Breakdown: 13 orphan lead; 6 non-customer lead; 137 phone mismatch"
unreliable_assignment_mapping,Assignments without reliable customer mapping,1451,17478,action_required,critical,E2,"Missing/orphan lead or invoice; non-customer lead; lead/invoice disagreement",,"Many affected rows have both leadId and invoiceId missing"
missing_phone,Potential-customer records with missing phone,0,6738,observed,info,E2,"Blank WhatsApp number after trimming",,"Schema declares whatsappNumber NOT NULL; this does not prove validity"
invalid_phone,Potential-customer records with invalid phone,2,6738,review_required,medium,E2,"Normalized value outside 8-15 digits",,"No country-specific validity or reachability check was performed"
country_code_representation_groups,Multiple country-code representation groups,33,6675,review_required,medium,E2,"One normalized phone represented by multiple raw dial/number forms",3dbbc7ebc024:2,"Raw values are never included"
bde_ownership_inconsistency_groups,BDE ownership inconsistency groups,44,6738,review_required,high,E2,"Lead owner differs from invoice creator or invoices have multiple creators",,"Invoice creator is only a proxy; business ownership semantics require confirmation"
invoice_missing_lead_id,Invoices missing leadId,0,16229,observed,info,E2,"Non-deleted invoice leadId is null",,""
invoice_orphan_lead_id,Invoices with orphan leadId,13,16229,action_required,high,E2,"Invoice leadId does not resolve to a non-deleted lead",,""
invoice_non_customer_lead,Invoices linked to non-customer lead stage,6,16229,review_required,high,E2,"Invoice lead exists but leadStage < 5",,""
invoice_phone_mismatch,Invoice/lead phone mismatch,137,16229,review_required,high,E2,"Both normalized values valid but not equivalent",,"Normalization is conservative and may still need country metadata"
assignment_missing_lead_id,Assignments missing leadId,1412,17478,action_required,critical,E2,"Non-deleted assignment leadId is null",,""
assignment_missing_invoice_id,Assignments missing invoiceId,1412,17478,action_required,critical,E2,"Non-deleted assignment invoiceId is null",,""
assignment_orphan_lead_id,Assignments with orphan leadId,10,17478,action_required,high,E2,"Assignment leadId does not resolve to a non-deleted lead",,""
assignment_orphan_invoice_id,Assignments with orphan invoiceId,26,17478,action_required,high,E2,"Assignment invoiceId does not resolve to a non-deleted invoice",,""
assignment_non_customer_lead,Assignments linked to non-customer lead stage,13,17478,review_required,high,E2,"Assignment lead exists but leadStage < 5",,""
